"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","Reporting_Airline","DOT_ID_Reporting_Airline","IATA_CODE_Reporting_Airline","Tail_Number","Flight_Number_Reporting_Airline","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum",
2024,1,2,1,4,2024-02-01,"AA",19805,"AA","N664AW","298",14107,1410702,30466,"PHX","Phoenix, AZ","AZ","04","Arizona",81,14689,1468902,34689,"SBA","Santa Barbara, CA","CA","06","California",91,"1106","1108",2.00,2.00,0.00,0,"1100-1159",19.00,"1127","1143",5.00,"1145","1148",3.00,3.00,0.00,0,"1100-1159",0.00,"",0.00,99.00,100.00,76.00,1.00,455.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,2,5,2024-02-02,"AA",19805,"AA","N650AW","298",14107,1410702,30466,"PHX","Phoenix, AZ","AZ","04","Arizona",81,14689,1468902,34689,"SBA","Santa Barbara, CA","CA","06","California",91,"1106","1104",-2.00,0.00,0.00,-1,"1100-1159",22.00,"1126","1141",6.00,"1145","1147",2.00,2.00,0.00,0,"1100-1159",0.00,"",0.00,99.00,103.00,75.00,1.00,455.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,3,6,2024-02-03,"AA",19805,"AA","N111US","298",14107,1410702,30466,"PHX","Phoenix, AZ","AZ","04","Arizona",81,14689,1468902,34689,"SBA","Santa Barbara, CA","CA","06","California",91,"1106","1058",-8.00,0.00,0.00,-1,"1100-1159",11.00,"1109","1132",4.00,"1145","1136",-9.00,0.00,0.00,-1,"1100-1159",0.00,"",0.00,99.00,98.00,83.00,1.00,455.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,4,7,2024-02-04,"AA",19805,"AA","N111US","298",14107,1410702,30466,"PHX","Phoenix, AZ","AZ","04","Arizona",81,14689,1468902,34689,"SBA","Santa Barbara, CA","CA","06","California",91,"1106","1119",13.00,13.00,0.00,0,"1100-1159",23.00,"1142","1209",3.00,"1145","1212",27.00,27.00,1.00,1,"1100-1159",0.00,"",0.00,99.00,113.00,87.00,1.00,455.00,2,0.00,0.00,14.00,0.00,13.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,5,1,2024-02-05,"AA",19805,"AA","N667AW","298",14107,1410702,30466,"PHX","Phoenix, AZ","AZ","04","Arizona",81,14689,1468902,34689,"SBA","Santa Barbara, CA","CA","06","California",91,"1106","1500",234.00,234.00,1.00,12,"1100-1159",14.00,"1514","1534",4.00,"1145","1538",233.00,233.00,1.00,12,"1100-1159",0.00,"",0.00,99.00,98.00,80.00,1.00,455.00,2,0.00,233.00,0.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,6,2,2024-02-06,"AA",19805,"AA","N601AW","298",14107,1410702,30466,"PHX","Phoenix, AZ","AZ","04","Arizona",81,14689,1468902,34689,"SBA","Santa Barbara, CA","CA","06","California",91,"1106","1100",-6.00,0.00,0.00,-1,"1100-1159",14.00,"1114","1125",5.00,"1145","1130",-15.00,0.00,0.00,-1,"1100-1159",0.00,"",0.00,99.00,90.00,71.00,1.00,455.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,7,3,2024-02-07,"AA",19805,"AA","N669AW","298",14107,1410702,30466,"PHX","Phoenix, AZ","AZ","04","Arizona",81,14689,1468902,34689,"SBA","Santa Barbara, CA","CA","06","California",91,"1106","1131",25.00,25.00,1.00,1,"1100-1159",33.00,"1204","1218",6.00,"1145","1224",39.00,39.00,1.00,2,"1100-1159",0.00,"",0.00,99.00,113.00,74.00,1.00,455.00,2,0.00,0.00,14.00,0.00,25.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,8,4,2024-02-08,"AA",19805,"AA","N601AW","298",14107,1410702,30466,"PHX","Phoenix, AZ","AZ","04","Arizona",81,14689,1468902,34689,"SBA","Santa Barbara, CA","CA","06","California",91,"1106","1103",-3.00,0.00,0.00,-1,"1100-1159",13.00,"1116","1136",5.00,"1145","1141",-4.00,0.00,0.00,-1,"1100-1159",0.00,"",0.00,99.00,98.00,80.00,1.00,455.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,9,5,2024-02-09,"AA",19805,"AA","N673AW","298",14107,1410702,30466,"PHX","Phoenix, AZ","AZ","04","Arizona",81,14689,1468902,34689,"SBA","Santa Barbara, CA","CA","06","California",91,"1106","1101",-5.00,0.00,0.00,-1,"1100-1159",13.00,"1114","1128",6.00,"1145","1134",-11.00,0.00,0.00,-1,"1100-1159",0.00,"",0.00,99.00,93.00,74.00,1.00,455.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,10,6,2024-02-10,"AA",19805,"AA","N652AW","298",14107,1410702,30466,"PHX","Phoenix, AZ","AZ","04","Arizona",81,14689,1468902,34689,"SBA","Santa Barbara, CA","CA","06","California",91,"1106","1113",7.00,7.00,0.00,0,"1100-1159",26.00,"1139","1146",3.00,"1145","1149",4.00,4.00,0.00,0,"1100-1159",0.00,"",0.00,99.00,96.00,67.00,1.00,455.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,11,7,2024-02-11,"AA",19805,"AA","N665AW","298",14107,1410702,30466,"PHX","Phoenix, AZ","AZ","04","Arizona",81,14689,1468902,34689,"SBA","Santa Barbara, CA","CA","06","California",91,"1106","1119",13.00,13.00,0.00,0,"1100-1159",20.00,"1139","1150",10.00,"1145","1200",15.00,15.00,1.00,1,"1100-1159",0.00,"",0.00,99.00,101.00,71.00,1.00,455.00,2,12.00,0.00,2.00,0.00,1.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,12,1,2024-02-12,"AA",19805,"AA","N669AW","298",14107,1410702,30466,"PHX","Phoenix, AZ","AZ","04","Arizona",81,14689,1468902,34689,"SBA","Santa Barbara, CA","CA","06","California",91,"1106","1110",4.00,4.00,0.00,0,"1100-1159",34.00,"1144","1154",7.00,"1145","1201",16.00,16.00,1.00,1,"1100-1159",0.00,"",0.00,99.00,111.00,70.00,1.00,455.00,2,0.00,0.00,12.00,0.00,4.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,13,2,2024-02-13,"AA",19805,"AA","N658AW","298",14107,1410702,30466,"PHX","Phoenix, AZ","AZ","04","Arizona",81,14689,1468902,34689,"SBA","Santa Barbara, CA","CA","06","California",91,"1106","1115",9.00,9.00,0.00,0,"1100-1159",17.00,"1132","1145",3.00,"1145","1148",3.00,3.00,0.00,0,"1100-1159",0.00,"",0.00,99.00,93.00,73.00,1.00,455.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,14,3,2024-02-14,"AA",19805,"AA","N655AW","298",14107,1410702,30466,"PHX","Phoenix, AZ","AZ","04","Arizona",81,14689,1468902,34689,"SBA","Santa Barbara, CA","CA","06","California",91,"1106","1058",-8.00,0.00,0.00,-1,"1100-1159",20.00,"1118","1132",3.00,"1145","1135",-10.00,0.00,0.00,-1,"1100-1159",0.00,"",0.00,99.00,97.00,74.00,1.00,455.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2024,1,2,1,4,2024-02-01,"AA",19805,"AA","N664AW","298",14689,1468902,34689,"SBA","Santa Barbara, CA","CA","06","California",91,14107,1410702,30466,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1230","1228",-2.00,0.00,0.00,-1,"1200-1259",11.00,"1239","1446",14.00,"1500","1500",0.00,0.00,0.00,0,"1500-1559",0.00,"",0.00,90.00,92.00,67.00,1.00,455.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
